ship_id,ship_type,capacity_ton,speed_knots,fuel_consumption_td,operating_cost_usd_d,origin_port,destination_port,distance_nm,travel_time_days,loading_time_days,unloading_time_days,total_time_days,fuel_cost_usd,port_cost_usd,total_cost_usd,revenue_usd,profit_usd,maintenance_due,utilization_rate,fuel_efficiency
SHIP_033,Petroleiro,35778.37,21.16,95.51,19163.77,Rio de Janeiro,Salvador,2668.0,126.1,2.27,2.6,130.97,7828319.07,37086.73,10375293.05,13792362.79,3417069.74,False,0.7603885116720308,35776.59
SHIP_034,Container,29552.76,24.41,50.89,19417.86,Manaus,Rio Grande,2763.38,113.19,1.39,1.14,115.72,3743864.72,14031.12,6004842.96,6649094.94,644251.98,False,0.7177939752110543,12660.14
SHIP_035,Petroleiro,34507.52,18.85,74.53,10109.37,Fortaleza,Belém,1151.74,61.09,1.99,2.39,65.47,2959303.68,23933.46,3645047.69,5375203.33,1730155.64,False,0.7462811111004526,23214.5
SHIP_036,Petroleiro,48541.12,20.48,53.88,13527.8,Santos,Manaus,1939.81,94.72,2.46,1.26,98.44,3317093.64,20000.66,4668735.24,6219771.28,1551036.04,False,0.9257650639612476,28788.1
SHIP_037,Container,43628.57,19.29,80.07,16318.14,Manaus,Rio de Janeiro,757.81,39.29,2.81,2.01,44.1,2044611.22,43058.3,2807313.29,3447436.42,640123.13,False,0.6349947105066521,7994.58
SHIP_038,Gaseiro,7406.84,24.59,87.77,10323.58,Manaus,Belém,2892.0,117.63,2.35,1.97,121.95,6711007.36,29721.03,7999682.4,9066150.18,1066467.78,False,0.7026237700943225,12150.51
SHIP_039,Container,19789.9,21.73,80.19,16873.69,Salvador,Rio de Janeiro,2474.05,113.88,1.18,1.99,117.05,5935776.62,12302.35,7923150.52,10457065.6,2533915.07,True,0.857962444876853,31598.91
SHIP_040,Granelheiro,29566.21,22.06,97.49,15320.45,Manaus,Salvador,2592.41,117.53,2.73,2.68,122.94,7447565.53,27043.66,9358043.77,11127000.09,1768956.32,True,0.8876510207516246,18144.6
SHIP_041,Container,36780.9,15.81,26.79,19799.59,Manaus,Salvador,1435.68,90.79,1.74,2.63,95.16,1580763.08,47889.94,3512683.63,5249355.91,1736672.28,True,0.7225763863451097,64832.61
SHIP_042,Graneleiro,36868.15,19.82,50.24,15576.27,Itajaí,Rio Grande,1121.81,56.61,1.66,1.87,60.14,1848601.01,20147.29,2805486.82,3540751.15,735264.33,False,0.859340851318734,14635.33
SHIP_043,Petroleiro,39523.77,23.23,79.54,15215.59,Fortaleza,Rio de Janeiro,1093.77,47.09,1.8,1.96,50.84,2434426.52,13315.65,3221368.79,4224335.68,1002966.89,True,0.8807382371593568,12610.08
SHIP_044,Container,49005.53,20.56,45.81,5651.01,Recife,Belém,2811.61,136.75,2.84,1.51,141.1,4072403.95,37816.44,4907551.34,5546386.04,638834.7,False,0.8202895233473418,13943.82
SHIP_045,Gaseiro,36308.69,19.55,70.2,13764.71,Belém,Rio de Janeiro,2752.9,140.85,1.09,1.56,143.5,6427233.3,48016.46,8450471.56,12304778.23,3854306.67,False,0.6373646230775595,54901.02
SHIP_046,Graneleiro,20104.7,16.7,71.75,10824.03,Recife,Santos,1073.49,64.29,1.53,1.72,67.55,2998374.51,20397.99,3749887.17,4804716.7,1054829.53,False,0.7876337282204421,14701.89
SHIP_047,Gaseiro,18928.74,23.14,74.78,7439.25,Belém,Itajaí,2777.32,120.03,2.65,2.9,125.58,5834327.32,39028.78,6807560.46,9158660.91,2351100.46,False,0.6289619470123571,31440.86
SHIP_048,Petroleiro,44449.77,20.52,33.19,11168.83,Rio de Janeiro,Fortaleza,2444.01,119.13,1.96,2.97,124.06,2569745.14,25069.56,3980406.28,5571897.38,1591491.1,False,0.9394700392351111,47955.63
SHIP_049,Granelheiro,42895.35,23.38,57.5,11222.29,Fortaleza,Rio de Janeiro,1183.52,50.61,1.11,2.73,54.46,1891542.24,42516.04,2545179.71,3817482.14,1272302.43,True,0.7944010969609195,22128.75
SHIP_050,Granelheiro,39604.43,24.45,87.97,8710.22,Santos,Rio Grande,1626.36,66.52,1.26,2.91,70.69,3803963.29,34246.99,4453941.06,5306679.8,852738.74,False,0.6164137637269269,9693.32
SHIP_051,Petroleiro,17090.26,15.22,59.85,12143.16,Salvador,Recife,2578.43,169.39,1.62,2.63,173.64,6590048.43,48718.95,8747285.42,9931346.75,1184061.33,False,0.8064845639981726,19782.75
SHIP_052,Container,26602.07,19.21,82.77,14590.42,Rio Grande,Rio de Janeiro,2512.61,130.83,2.81,2.23,135.87,7038942.9,49218.51,9070554.71,12183887.82,3113333.11,False,0.7372854157849063,37612.7
SHIP_053,Container,24686.37,24.04,47.86,12709.84,Rio de Janeiro,Salvador,2459.13,102.29,1.79,2.24,106.32,3182063.36,44494.55,4577917.58,6774440.2,2196522.62,True,0.7607713827811603,45894.33
SHIP_054,Petroleiro,42894.11,22.69,25.3,5687.92,Recife,Manaus,2052.01,90.44,1.69,1.42,93.55,1487223.48,33186.0,2052533.12,2538214.36,485681.23,False,0.6448160436352204,19197.74
SHIP_055,Gaseiro,11835.62,16.39,71.27,7728.2,Manaus,Santos,1364.17,83.24,2.79,1.95,87.98,3856157.46,36702.31,4572802.5,5345276.65,772474.15,False,0.6143040156932675,10838.7
SHIP_056,Container,12602.08,17.79,34.16,6330.54,Belém,Manaus,801.59,45.07,1.92,1.41,48.4,1000732.65,24570.79,1331720.76,1733057.33,401336.57,False,0.7125539676380102,11748.44
SHIP_057,Container,9153.08,19.81,75.02,12674.86,Salvador,Fortaleza,892.44,45.05,1.75,1.01,47.81,2196702.38,44732.04,2847376.7,3228375.07,380998.37,False,0.664582356774732,5078.44
SHIP_058,Container,14420.72,18.7,58.76,14273.82,Rio Grande,Manaus,1422.28,76.04,1.93,2.49,80.46,2904315.91,11467.33,4064237.61,4881046.87,816809.25,True,0.8405079268911658,13900.34
SHIP_059,Granelheiro,42999.83,22.5,22.44,18008.22,Rio Grande,Recife,1385.37,61.58,1.79,1.21,64.59,898151.07,39496.21,2100734.08,2463979.47,363245.39,False,0.7127277079541123,16189.01
SHIP_060,Graneleiro,14515.16,18.27,29.58,18357.91,Santos,Recife,1983.98,108.56,2.36,2.58,113.5,2087404.22,29937.69,4200951.45,4767105.76,566154.31,False,0.8053943913073076,19139.14
SHIP_061,Container,38544.78,19.32,30.21,9256.64,Itajaí,Fortaleza,1407.71,72.88,2.29,2.14,77.31,1430849.55,24243.87,2170713.49,3244361.63,1073648.13,False,0.6026370270969261,35543.7
SHIP_062,Granelheiro,15139.98,18.65,59.02,17762.26,Santos,Rio de Janeiro,719.72,38.58,2.61,1.11,42.31,1480296.97,43692.56,2275448.51,2549990.9,274542.4,False,0.7436388894463815,4651.31
SHIP_063,Graneleiro,49207.04,16.12,51.83,19542.06,Fortaleza,Rio Grande,2663.77,165.24,2.63,1.52,169.39,5566758.86,16835.5,8893864.44,12161979.75,3268115.31,False,0.8514600447927938,63056.4
SHIP_064,Granelheiro,29076.65,19.77,87.09,8076.16,Itajaí,Santos,2919.99,147.73,2.42,1.4,151.55,8362233.47,39449.89,9625602.78,12628174.9,3002572.12,True,0.8137170148545714,34478.0
SHIP_065,Petroleiro,17988.37,20.81,32.35,12217.1,Manaus,Santos,1831.47,88.0,1.1,1.67,90.78,1850347.57,15376.59,2974744.79,3347629.02,372884.22,False,0.6706056618155825,11526.91
SHIP_066,Container,35805.72,15.88,31.11,5040.66,Recife,Manaus,791.74,49.86,1.95,2.21,54.02,1008150.85,41771.58,1322220.93,1510875.02,188654.09,False,0.8907167927257051,6064.88
SHIP_067,Gaseiro,48426.21,16.24,78.47,19075.11,Manaus,Paranaguá,953.08,58.68,1.13,2.48,62.29,2992807.24,32978.92,4214009.88,6054400.79,1840390.9,False,0.8897793105121221,23453.61
SHIP_068,Container,38772.59,23.0,86.01,7796.07,Recife,Itajaí,1089.23,47.37,2.27,2.82,52.45,2648160.6,22647.86,3079717.11,4112416.08,1032698.97,False,0.8858098038150519,12006.65
SHIP_069,Petroleiro,24761.07,18.77,57.01,9520.67,Salvador,Rio Grande,2369.02,126.22,2.01,1.46,129.69,4677520.82,45982.98,5958209.67,7468952.39,1510742.72,False,0.623316689336786,26497.57
SHIP_070,Granelheiro,15306.14,20.43,54.52,9992.24,Salvador,Santos,2326.37,113.88,2.39,1.33,117.6,4035804.54,45145.16,5256034.0,6823222.77,1567188.77,False,0.9128624040678351,28744.02
SHIP_071,Granelheiro,40486.87,16.52,44.94,8727.34,Fortaleza,Rio de Janeiro,2359.87,142.88,1.07,2.14,146.08,4173376.44,40498.35,5488798.91,7962634.9,2473836.0,False,0.6360206107604507,55050.27
SHIP_072,Graneleiro,29141.66,18.79,56.56,14059.37,Paranaguá,Fortaleza,1755.72,93.45,2.08,1.97,97.5,3435522.74,26358.21,4832675.23,6808044.73,1975369.5,False,0.824401671509854,34925.19
SHIP_073,Gaseiro,36227.68,20.43,40.14,10185.44,Belém,Recife,953.99,46.7,2.82,2.17,51.69,1218622.46,26034.06,1771098.51,2275511.47,504412.97,False,0.815232592103429,12565.11
SHIP_074,Gaseiro,46033.36,16.39,28.06,8840.23,Salvador,Santos,2315.24,141.25,2.19,1.2,144.64,2576572.27,46750.02,3901969.87,5525321.43,1623351.57,False,0.8475335220096895,57845.52
SHIP_075,Gaseiro,11864.26,20.76,68.54,11361.96,Recife,Rio de Janeiro,2341.11,112.75,2.87,2.85,118.47,5023125.14,28033.57,6397260.9,7326752.32,929491.42,False,0.6579321786285514,13561.85
SHIP_076,Graneleiro,13384.44,23.37,46.57,9671.66,Recife,Rio de Janeiro,1068.49,45.71,2.22,1.76,49.69,1383743.96,39769.99,1904053.88,2251033.27,346979.4,False,0.601621208051611,7450.43
SHIP_077,Petroleiro,20007.46,18.98,62.99,18797.83,Rio Grande,Itajaí,1365.86,71.96,1.69,2.48,76.13,2946247.96,28088.72,4405338.63,5241656.62,836317.99,False,0.6868792549650031,13276.65
SHIP_078,Gaseiro,30993.44,16.66,22.71,9672.1,Fortaleza,Santos,2451.24,147.18,1.56,1.44,150.17,2172573.37,18507.23,3643554.7,4758735.56,1115180.87,False,0.9363746111143092,49104.56
SHIP_079,Petroleiro,11689.82,19.15,26.83,19953.11,Rio Grande,Belém,1755.49,91.69,2.19,1.13,95.01,1598878.44,39998.42,3534687.77,4184936.84,650249.07,False,0.7222854496672665,24237.73
SHIP_080,Container,26070.43,21.25,50.22,17548.47,Salvador,Fortaleza,1968.63,92.64,1.59,2.43,96.66,3024018.07,31105.91,4751339.21,6242225.62,1490886.41,False,0.7958741159578762,29688.24
SHIP_081,Container,11985.81,16.82,88.94,19191.73,Salvador,Santos,1433.27,85.22,1.54,2.29,89.05,4926584.88,26349.37,6661873.01,7395708.58,733835.57,False,0.8939261008097996,8250.64
SHIP_082,Granelheiro,44014.72,19.08,64.14,8808.33,Manaus,Santos,990.28,51.9,2.01,2.19,56.1,2163773.71,23570.85,2681519.51,3560461.02,878941.51,False,0.8284611377481561,13703.95
SHIP_083,Gaseiro,15718.23,15.99,39.45,15834.0,Rio Grande,Paranaguá,2639.24,165.01,2.66,1.79,169.46,4231678.54,36723.41,6951711.27,8216879.05,1265167.78,False,0.7133965213873799,32067.09
SHIP_084,Graneleiro,8911.63,21.33,78.87,17721.92,Recife,Fortaleza,806.94,37.83,2.75,2.29,42.87,1939281.29,38157.85,2737103.42,4007802.6,1270699.17,False,0.7196360730942566,16110.83
SHIP_085,Granelheiro,16674.05,18.8,67.22,9020.95,Rio de Janeiro,Paranaguá,2060.37,109.61,1.82,2.1,113.54,4789542.18,27445.06,5841182.41,7113311.94,1272129.53,False,0.8729155711758108,18923.85
SHIP_086,Container,10140.71,20.66,98.83,12065.98,Rio Grande,Paranaguá,955.27,46.24,1.97,2.02,50.24,2970579.99,39667.48,3616406.5,4988971.42,1372564.92,False,0.6902606899016208,13888.23
SHIP_087,Granelheiro,11271.02,23.35,98.75,12885.35,Salvador,Belém,929.2,39.8,1.54,1.04,42.38,2554432.8,46571.95,3147046.58,3609978.5,462931.92,False,0.774331763728852,4687.81
SHIP_088,Granelheiro,8022.89,19.05,59.8,15803.04,Itajaí,Recife,766.45,40.23,1.28,1.53,43.04,1563596.32,20659.94,2264349.43,3153953.06,889603.63,False,0.8101809011517787,14877.01
SHIP_089,Gaseiro,34926.65,16.75,93.15,11281.56,Itajaí,Rio de Janeiro,1457.85,87.02,2.04,1.09,90.15,5268787.4,16651.33,6302449.53,8793262.33,2490812.8,False,0.6316179362021628,26738.96
SHIP_090,Graneleiro,39694.37,15.68,86.97,11557.9,Santos,Rio Grande,2788.78,177.83,2.44,2.22,182.49,10052269.88,47972.27,12209463.03,15367559.68,3158096.65,False,0.9278904087636652,36314.02
SHIP_091,Petroleiro,37965.74,17.15,22.49,8933.96,Rio Grande,Itajaí,1987.69,115.9,1.1,1.99,119.0,1694701.81,33873.71,2791718.51,3444136.31,652417.79,False,0.7659830580451293,29003.24
SHIP_092,Graneleiro,20497.27,18.52,53.02,15573.88,Recife,Salvador,1995.72,107.79,1.92,1.15,110.86,3714899.2,13110.61,5454499.2,6005053.2,550554.0,False,0.695250798030487,10383.21
SHIP_093,Granelheiro,31560.38,18.61,27.33,18759.7,Rio Grande,Belém,842.05,45.25,2.9,1.89,50.04,803700.52,17405.32,1759843.58,2317292.3,557448.72,False,0.8654373448809884,20399.52
SHIP_094,Container,33752.72,22.59,77.93,14558.47,Itajaí,Paranaguá,2951.44,130.65,2.81,2.29,135.75,6617889.36,37727.01,8631937.53,9673280.0,1041342.47,False,0.613799383978977,13362.83
SHIP_095,Container,36750.88,24.25,34.45,13519.18,Recife,Paranaguá,2788.72,114.99,1.07,2.39,118.45,2574549.92,21893.96,4197787.21,6169733.34,1971946.13,False,0.9304932711897018,57247.42
SHIP_096,Granelheiro,26339.64,23.62,87.56,9786.51,Recife,Manaus,2572.29,108.9,1.07,2.19,112.17,6198272.74,19200.35,7315201.92,8399510.56,1084308.64,False,0.9097494247831484,12383.05
SHIP_097,Graneleiro,28861.93,19.41,52.36,13586.42,Paranaguá,Belém,2509.94,129.31,2.08,2.32,133.71,4400827.76,39514.23,6256978.9,8184549.14,1927570.25,False,0.9068328822518572,36814.61
SHIP_098,Container,23787.77,19.62,99.23,5003.56,Manaus,Rio de Janeiro,963.68,49.12,1.77,2.87,53.75,3168050.32,12801.19,3449802.43,3807871.82,358069.39,False,0.8685159011258944,3608.58
SHIP_099,Graneleiro,23086.89,19.8,70.2,18105.16,Paranaguá,Salvador,2960.21,149.51,2.54,1.84,153.89,6822406.48,26854.28,9635408.31,13441711.8,3806303.49,False,0.6011712267150428,54220.51
SHIP_100,Gaseiro,26028.98,17.97,88.23,15733.3,Paranaguá,Recife,1972.77,109.78,1.55,2.82,114.16,6295593.4,11804.03,8103454.45,9268626.17,1165171.72,False,0.6435531450538997,13206.71
SHIP_101,Gaseiro,48038.71,22.98,40.72,13828.31,Fortaleza,Rio Grande,2955.83,128.63,2.77,2.2,133.6,3404373.68,46148.96,5297938.68,7923988.95,2626050.27,False,0.9469090191479417,64492.63
SHIP_102,Gaseiro,15425.23,24.43,71.97,14116.05,Rio de Janeiro,Paranaguá,1781.72,72.94,1.46,1.35,75.75,3412237.84,18819.45,4500406.07,5286065.83,785659.76,True,0.889171993527888,10916.23
SHIP_103,Gaseiro,41034.64,21.3,37.31,12773.91,Paranaguá,Rio de Janeiro,1993.19,93.59,2.05,1.52,97.16,2269365.57,30609.92,3541050.54,4590881.86,1049831.32,False,0.6538635672189492,28141.14
SHIP_104,Container,41712.49,17.24,37.91,13054.62,Itajaí,Rio Grande,1982.35,114.96,2.16,1.18,118.3,2832348.0,45098.43,4421797.87,5333749.54,911951.67,False,0.7668368899156289,24058.62
SHIP_105,Granelheiro,6996.95,23.52,22.83,9935.77,Rio Grande,Paranaguá,2828.97,120.27,2.47,1.56,124.3,1785036.95,20105.96,3040187.06,3350386.03,310198.97,True,0.6170742535856105,13585.08
SHIP_106,Petroleiro,28967.11,24.62,28.76,18417.2,Rio de Janeiro,Manaus,2978.69,120.98,1.12,2.77,124.87,2261414.22,30643.16,4591801.63,6715994.26,2124192.63,False,0.7217332227657676,73865.67
SHIP_107,Container,35510.73,20.66,41.36,18179.45,Itajaí,Belém,2493.57,120.71,2.32,2.7,125.73,3245371.12,44691.77,5575747.57,7713183.59,2137436.02,False,0.8441150115842493,51675.99
SHIP_108,Container,35606.33,21.19,80.22,7379.08,Rio Grande,Belém,2702.18,127.54,2.74,1.06,131.35,6650342.95,43032.67,7662594.45,8823844.9,1161250.46,False,0.8602278897020628,14476.3
SHIP_109,Granelheiro,12234.2,23.18,86.57,12612.02,Rio de Janeiro,Rio Grande,515.96,22.26,1.57,2.23,26.07,1252556.07,49247.45,1630564.63,2205706.21,575141.58,False,0.7318433766953796,6643.6
SHIP_110,Container,5408.26,23.19,30.28,9250.14,Belém,Rio Grande,546.07,23.55,1.86,2.68,28.1,463465.52,25686.05,749039.92,877724.18,128684.26,False,0.6358784047967377,4250.39
SHIP_111,Granelheiro,47175.28,21.88,25.43,9514.45,Salvador,Manaus,2270.43,103.77,1.13,2.16,107.07,1715107.72,23835.32,2757673.08,3718353.2,960680.11,False,0.9050378821533316,37781.94
SHIP_112,Graneleiro,48807.0,24.69,79.97,6951.29,Rio de Janeiro,Belém,2395.66,97.03,1.05,1.04,99.13,5044026.07,22944.41,5756036.27,7456699.07,1700662.8,False,0.6883780623909337,21265.69
SHIP_113,Container,5046.33,16.59,57.48,19164.55,Itajaí,Rio de Janeiro,755.48,45.54,2.71,2.05,50.3,1701566.83,43036.83,2708632.15,3302770.0,594137.85,False,0.628833365965545,10335.86
SHIP_114,Granelheiro,35622.47,21.55,41.86,19262.95,Salvador,Recife,877.64,40.74,1.86,2.89,45.49,1108384.59,26789.09,2011389.84,2726258.67,714868.83,True,0.866032927453334,17077.3
SHIP_115,Gaseiro,24903.44,18.12,45.66,15866.34,Santos,Fortaleza,2364.59,130.5,1.4,2.74,134.64,3873052.35,38596.96,6047840.95,8013994.73,1966153.78,False,0.7901314820264853,43061.3
SHIP_116,Granelheiro,12166.06,17.04,27.29,7304.87,Manaus,Fortaleza,1634.23,95.92,2.06,1.04,99.02,1701719.55,41871.91,2466912.49,3003878.4,536965.91,False,0.9222967467354903,19674.01
SHIP_117,Granelheiro,32749.26,22.97,58.52,6759.62,Rio Grande,Recife,812.96,35.4,2.37,1.86,39.63,1346570.24,18020.99,1632484.0,2116740.5,484256.49,False,0.8280318133807926,8274.81
SHIP_118,Granelheiro,19666.65,20.9,54.66,19765.27,Belém,Salvador,873.95,41.81,1.93,2.36,46.1,1485481.25,25821.8,2422495.82,3609227.93,1186732.11,False,0.7020819025482561,21711.27
SHIP_119,Container,36274.18,23.6,82.39,5594.28,Fortaleza,Santos,1701.27,72.08,1.21,1.48,74.78,3860253.09,49466.5,4328047.79,5007543.58,679495.79,False,0.768824733543057,8247.5
SHIP_120,Container,14465.73,18.46,82.06,19118.56,Rio de Janeiro,Fortaleza,681.04,36.89,2.07,2.77,41.73,1967911.23,13300.34,2778952.67,3973362.15,1194409.47,False,0.7389231466705586,14554.54
SHIP_121,Gaseiro,10972.21,20.68,75.16,17008.8,Belém,Fortaleza,1000.38,48.38,1.33,1.21,50.93,2363703.13,35457.21,3265399.94,4514710.26,1249310.31,True,0.8081718230819276,16622.63
SHIP_122,Gaseiro,32747.21,21.13,43.91,19028.03,Rio Grande,Paranaguá,2868.38,135.75,2.25,2.57,140.57,3874306.05,34490.32,6583566.75,8517551.24,1933984.48,False,0.9131858296211846,44047.42
SHIP_123,Container,29641.66,23.17,56.19,14653.67,Manaus,Santos,1816.01,78.37,2.46,1.16,81.99,2862021.62,12414.08,4075946.39,4886412.85,810466.45,False,0.7677476250017006,14424.84
SHIP_124,Petroleiro,32708.39,18.29,57.61,16164.19,Manaus,Fortaleza,2679.58,146.5,1.87,1.09,149.46,5486497.19,16466.9,7918839.69,8776802.07,857962.38,False,0.6799591594659545,14891.4
SHIP_125,Graneleiro,49835.03,24.75,72.03,7993.14,Rio de Janeiro,Itajaí,2200.57,88.92,1.14,1.06,91.13,4162932.65,20307.32,4911615.16,6311667.05,1400051.89,False,0.9362731930204419,19438.13
